callsign,affiliation,date,weekday,ideology,national_politics,local_politics,sinclair2017,post,month
WNCT,CBS,2017-12-07,Thu,0.034932643878824,0.1277797154945055,0.11905419318681319,0,1,Dec
WYDO,FOX,2017-12-07,Thu,0.04928074630418464,0.15594236895833333,0.09811524729166668,1,1,Dec
KAEF,ABC,2017-12-08,Fri,0.0938009113055085,0.10932344134328359,0.17186103223880597,1,1,Dec
KBVU,FOX,2017-12-08,Fri,0.15724009195452054,0.10000273181818181,0.21776486545454543,1,1,Dec
KBZK,CBS,2017-12-08,Fri,0.046445298618140556,0.20127075267857142,0.10852797642857143,0,1,Dec
KCVU,FOX,2017-12-08,Fri,0.18969930960857972,0.23597839818181818,0.20438693090909088,1,1,Dec
KECI,NBC,2017-12-08,Fri,0.14394996476930746,0.18231785731707317,0.0837484306097561,1,1,Dec
KHSL,CBS,2017-12-08,Fri,-0.2866854168719938,0.136235118,0.20453026700000002,0,1,Dec
KNVN,NBC,2017-12-08,Fri,-0.2992933437781027,0.12103939989361703,0.21121887627659575,0,1,Dec
KPAX,CBS,2017-12-08,Fri,0.05661366121108467,0.13637157923076923,0.163434458,0,1,Dec
KRBC,NBC,2017-12-08,Fri,0.11265467558861948,0.07887935344262295,0.18537015032786885,0,1,Dec
KRCR,ABC,2017-12-08,Fri,0.16943911219665062,0.13982568363636363,0.18237469875,1,1,Dec
KTAB,CBS,2017-12-08,Fri,-0.001761052505398404,0.0396066743902439,0.15113701585365852,0,1,Dec
KTMF,ABC,2017-12-08,Fri,0.2695728338604694,0.15067085608695652,0.05457814652173913,0,1,Dec
KTVM,NBC,2017-12-08,Fri,0.14371337911141072,0.2006099302469136,0.0949084137037037,1,1,Dec
KTXS,ABC,2017-12-08,Fri,0.18349287246791066,0.12416077855072465,0.044005239130434776,1,1,Dec
KWYB,ABC,2017-12-08,Fri,0.2871664691544655,0.1615345640909091,0.05954063318181818,0,1,Dec
